sort_inner,sort_attribute,option_tag_attribute_value,sortClass,textCount,name_url
0,0,6,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,1,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,1,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,1,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,1,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,1,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,1,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,1,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,1,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,1,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,3,0,4,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,0,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,0,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,4,0,4,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,3,0,4,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,0,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,0,0,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,1,5,1,1,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,1,0,3,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
1,0,1,0,3,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,1,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
0,0,0,0,0,agoda/Agoda _ Hotels in Kyoto _ Best Price Guarantee!.html
